patent_id,public,
9711743,1,
9546887,1,
9428525,1,
9409357,1,
9404913,1,
9346831,1,
9201069,1,
9005417,1,
8815177,1,
8703058,1,
8702946,1,
8696787,1,
8585986,1,
8585916,1,
8257571,1,
8257568,1,
8162149,1,
8163154,1,
8163254,1,
7999937,1,
7951747,1,
7828948,1,
7811439,1,
7776357,1,
7710086,1,
7678256,1,
7666289,1,
7625474,1,
7534334,1,
7527977,1,
7488407,1,
7477614,1,
7452507,1,
7419574,1,
7400119,1,
7390377,1,
7384526,1,
7371310,1,
7347923,1,
7348688,1,
6929733,1,
6926313,1,
6867435,1,
10591582,0,
10570010,0,
10572786,0,
10574056,0,
10566936,0,
10549261,0,
10553697,0,
10547805,0,
10544058,0,
10537839,0,
10539783,0,
10541996,0,
10538701,0,
10535127,0,
10516068,0,
10510945,0,
10505031,0,
10494721,0,
10493693,0,
10497866,0,
10495750,0,
10489483,0,
10483912,0,
10482388,0,
10481672,0,
10473755,0,
10473175,0,
10467474,0,
10458795,0,
10451745,0,
10445862,0,
10445065,0,
10435568,0,
10439817,0,
10429343,0,
10431280,0,
10421081,0,
10409030,0,
10410210,0,
10385616,0,
10387660,0,
10388753,0,
10374430,0,
10353088,0,
10344542,0,
10345440,0,
10345106,0,
10344736,0,
10341015,0,
10330786,0,
10331732,0,
10330657,0,
10326279,0,
10317300,0,
10317852,0,
10303841,0,
10304977,0,
10298016,0,
10289573,0,
10290950,0,
10288482,0,
10288121,0,
10288729,0,
10278276,0,
10267680,0,
10267788,0,
10267895,0,
10267896,0,
10270251,0,
10260969,0,
10261078,0,
10262931,0,
10254399,0,
10254112,0,
10234632,0,
10228665,0,
10224312,0,
10214700,0,
10214833,0,
10215648,0,
10218068,0,
10210964,0,
10199788,0,
10186711,0,
10186740,0,
10181078,0,
10181840,0,
10178756,0,
10173792,0,
10171189,0,
10168674,0,
10161924,0,
10160660,0,
10156402,0,
10155674,0,
10154193,0,
10147510,0,
10148244,0,
10145894,0,
10144464,0,
10139564,0,
10141495,0,
10130961,0,
10132699,0,
10120195,0,
10103733,0,
10094874,0,
10096536,0,
10086431,0,
10089160,0,
10090826,0,
10083080,0,
10077454,0,
10072879,0,
10073764,0,
10074522,0,
10066471,0,
10067049,0,
10068443,0,
10062255,0,
10062972,0,
10058881,0,
10054839,0,
10055959,0,
10057521,0,
10054443,0,
10043855,0,
10042960,0,
10042048,0,
10035121,0,
10032285,0,
10032077,0,
10031158,0,
10026701,0,
10027698,0,
10018718,0,
10020634,0,
10020968,0,
10009002,0,
10000377,0,
10001298,0,
10002328,0,
9993894,0,
9995411,0,
9995796,0,
9995800,0,
9987605,0,
9988312,0,
9988608,0,
9981313,0,
9981893,0,
9978895,0,
9974155,0,
9972565,0,
9972553,0,
9972736,0,
9963394,0,
9964431,0,
9959647,0,
9957554,0,
9952254,0,
9947981,0,
9947379,0,
9941857,0,
9929293,0,
9923284,0,
9917149,0,
9912420,0,
9911039,0,
9909233,0,
9907496,0,
9911981,0,
9897642,0,
9897556,0,
9886645,0,
9882113,0,
9874512,0,
9868636,0,
9865987,0,
9862608,0,
9859583,0,
9858144,0,
9851737,0,
9847149,0,
9846348,0,
9846229,0,
9844990,0,
9834381,0,
9835741,0,
9834649,0,
9831427,0,
9824932,0,
9823346,0,
9823497,0,
9810760,0,
9803285,0,
9799798,0,
9799828,0,
9791563,0,
9792184,0,
9792250,0,
9792292,0,
9793177,0,
9784818,0,
9759912,0,
9759263,0,
9761675,0,
9761748,0,
9763370,0,
9750413,0,
9755428,0,
9750122,0,
9748345,0,
9742394,0,
9733367,0,
9727976,0,
9725373,0,
9721312,0,
9720156,0,
9721867,0,
9720851,0,
9720080,0,
9718748,0,
9720102,0,
9719349,0,
9709720,0,
9702668,0,
9695586,0,
9681846,0,
9685765,0,
9685684,0,
9669551,0,
9665942,0,
9663389,0,
9662632,0,
9656926,0,
9660026,0,
9661733,0,
9659797,0,
9654035,0,
9653230,0,
9652703,0,
9651648,0,
9646874,0,
9645227,0,
9645228,0,
9645258,0,
9641154,0,
9620596,0,
9614273,0,
9612316,0,
9599667,0,
9599781,0,
9602087,0,
9586190,0,
9590284,0,
9579649,0,
9580326,0,
9580172,0,
9580976,0,
9580608,0,
9562560,0,
9556528,0,
9555583,0,
9553677,0,
9549704,0,
9550168,0,
9552897,0,
9548509,0,
9548411,0,
9546420,0,
9547107,0,
9533887,0,
9534879,0,
9536947,0,
9530873,0,
9525398,0,
9518406,0,
9518219,0,
9517937,0,
9514864,0,
9515340,0,
9514326,0,
9513554,0,
9508881,0,
9500930,0,
9501738,0,
9494787,0,
9484216,0,
9479232,0,
9477040,0,
9472689,0,
9470458,0,
9465274,0,
9459161,0,
9453376,0,
9448336,0,
9441075,0,
9440217,0,
9443627,0,
9437629,0,
9429644,0,
9425019,0,
9410900,0,
9412446,0,
9410931,0,
9408286,0,
9405283,0,
9404371,0,
9396081,0,
9391557,0,
9391420,0,
9389311,0,
9389180,0,
9387444,0,
9383270,0,
9374923,0,
9374887,0,
9368677,0,
9347923,0,
9343192,0,
9343795,0,
9334444,0,
9336870,0,
9337800,0,
9329154,0,
9322014,0,
9324550,0,
9315730,0,
9311721,0,
9311444,0,
9304198,0,
9294486,0,
9293627,0,
9291543,0,
9291508,0,
9287578,0,
9279188,0,
9274895,0,
9275003,0,
9276382,0,
9272296,0,
9269524,0,
9270281,0,
9269880,0,
9263894,0,
9261337,0,
9255347,0,
9249166,0,
9251678,0,
9244368,0,
9244264,0,
9239384,0,
9222810,0,
9219317,0,
9212430,0,
9209766,0,
9207123,0,
9202657,0,
9203134,0,
9194805,0,
9196788,0,
9190542,0,
9190392,0,
9188677,0,
9188622,0,
9187646,0,
9186116,0,
9190736,0,
9182436,0,
9180420,0,
9180428,0,
9172245,0,
9170340,0,
9166084,0,
9162914,0,
9157161,0,
9156068,0,
9151852,0,
9148481,0,
9146312,0,
9147931,0,
9148019,0,
9141413,0,
9140231,0,
9140145,0,
9139364,0,
9138897,0,
9142465,0,
9126392,0,
9123943,0,
9116249,0,
9117560,0,
9110147,0,
9102801,0,
9093249,0,
9086429,0,
9065716,0,
9059356,0,
9055886,0,
9052775,0,
9031098,0,
9029681,0,
9024111,0,
9020005,0,
9019148,0,
9013046,0,
9009640,0,
9000625,0,
9000250,0,
8994577,0,
8986576,0,
8987754,0,
8981312,0,
8979080,0,
8981337,0,
8971473,0,
8961766,0,
8955370,0,
8945277,0,
8946052,0,
8940147,0,
8941053,0,
8936290,0,
8932403,0,
8930034,0,
8924009,0,
8922973,0,
8912502,0,
8907439,0,
8907280,0,
8906803,0,
8904850,0,
8902115,0,
8895335,0,
8895364,0,
8895337,0,
8892985,0,
8878473,0,
8871496,0,
8866100,0,
8859190,0,
8858076,0,
8853651,0,
8854713,0,
8854254,0,
8846406,0,
8835272,0,
8835023,0,
8830125,0,
8828736,0,
8829183,0,
8827714,0,
8825611,0,
8814622,0,
8808588,0,
8802444,0,
8785905,0,
8780431,0,
8778459,0,
8772566,0,
8761560,0,
8753439,0,
8756484,0,
8747591,0,
8728290,0,
8729673,0,
8730562,0,
8728566,0,
8725004,0,
8723161,0,
8719925,0,
8708422,0,
8703391,0,
8695443,0,
8692704,0,
8693004,0,
8689767,0,
8685599,0,
8686363,0,
8687665,0,
8687674,0,
8688903,0,
8679860,0,
8680810,0,
8681248,0,
8676540,0,
8663361,0,
8653500,0,
8652768,0,
8623744,0,
8614395,0,
8611706,0,
8609573,0,
8597985,0,
8597396,0,
8596862,0,
8593237,0,
8585928,0,
8585801,0,
8589821,0,
8582931,0,
8579209,0,
8580350,0,
8575748,0,
8568508,0,
8566536,0,
8561483,0,
8562878,0,
8563325,0,
8566579,0,
8566684,0,
8557031,0,
8554771,0,
8541146,0,
8535424,0,
8536564,0,
8530614,0,
8529681,0,
8530002,0,
8527247,0,
8524060,0,
8523478,0,
8518346,0,
8516269,0,
8508370,0,
8501366,0,
8497747,0,
8491665,0,
8482739,0,
8481974,0,
8481345,0,
8472752,0,
8465715,0,
8466207,0,
8461300,0,
8460823,0,
8461023,0,
8451877,0,
8450773,0,
8450690,0,
8447148,0,
8446575,0,
8439534,0,
8438549,0,
8429987,0,
8432835,0,
8426135,0,
8426321,0,
8427809,0,
8427359,0,
8427358,0,
8425749,0,
8425681,0,
8408066,0,
8400349,0,
8398839,0,
8394312,0,
8390620,0,
8389715,0,
8367305,0,
8363990,0,
8359428,0,
8357994,0,
8358893,0,
8349633,0,
8349547,0,
8344553,0,
8338795,0,
8339219,0,
8340832,0,
8334421,0,
8329016,0,
8323955,0,
8324342,0,
8308203,0,
8304089,0,
8299497,0,
8296078,0,
8292492,0,
8293089,0,
8293566,0,
8294616,0,
8291824,0,
8290961,0,
8290754,0,
8289322,0,
8287832,0,
8286498,0,
8285394,0,
8280887,0,
8274512,0,
8274058,0,
8271891,0,
8270602,0,
8265870,0,
8266197,0,
8253802,0,
8247554,0,
8245430,0,
8245661,0,
8240911,0,
8237130,0,
8238026,0,
8236211,0,
8236611,0,
8232858,0,
8223472,0,
8210767,0,
8212456,0,
8212556,0,
8213070,0,
8213476,0,
8201438,0,
8201099,0,
8197887,0,
8194068,0,
8196101,0,
8191477,0,
8193962,0,
8186731,0,
8190295,0,
8187720,0,
8185101,0,
8176995,0,
8170282,0,
8170041,0,
8166051,0,
8157886,0,
8147788,0,
8137802,0,
8131112,0,
8126596,0,
